dataset,variation,log_file,best_temp,num_acc_mean,num_acc_std,ave_time_mean,ave_time_std
coin_flip,vanilla,output.log,0.7,0.9,0.099079092984679,1.7109806350866954,0.0011855584074350872
coin_flip,alpha_025_variation_no_l_reason,output.log,0.7,0.8099999999999999,0.1763991685543519,1.8591116245587669,0.0027101023908999
coin_flip,alpha_025_variation_no_sentence_transformer,output.log,0.5,0.8283333333333333,0.1506836273639427,1.7571787440776825,0.0016010205979703
coin_flip,alpha_025_variation_no_small_contemp_gen,output.log,0.7,0.6033333333333334,0.06485025486114568,1.8965273360411328,0.0032274425581253446
comsense_qa,vanilla,output.log,0.5,0.7683333333333334,0.10019425576792758,1.6623609137535096,0.028670429439483374
comsense_qa,alpha_025_variation_no_l_reason,output.log,0.9,0.7666666666666666,0.0832999933306653,1.6223859572410584,0.0784903131949899
comsense_qa,alpha_025_variation_no_sentence_transformer,output.log,0.3,0.5866666666666667,0.0664997911442,1.6266304850578308,0.0635912558641061
comsense_qa,alpha_025_variation_no_small_contemp_gen,output.log,0.1,0.6516666666666667,0.0487054639873415,1.725233942270279,0.0195514340170285
gsm8k,vanilla,output.log,0.9,0.08666666666666667,0.006236095644623235,1.7958891006310782,0.02618467357073807
gsm8k,alpha_025_variation_no_l_reason,output.log,0.3,0.08,0.0141421356237309,1.7351496624946592,0.0035359022587619
gsm8k,alpha_025_variation_no_sentence_transformer,output.log,0.7,0.075,0.0216024689946928,1.7217538547515872,0.007609369646112
gsm8k,alpha_025_variation_no_small_contemp_gen,output.log,0.7,0.0833333333333333,0.0023570226039551,1.7447560012340546,0.0030483721369367
multi_arith,vanilla,output.log,0.9,0.10733333333333334,0.005185449728701347,1.7659996138678657,0.046407486389921856
multi_arith,alpha_025_variation_no_l_reason,output.log,0.7,0.124,0.0615521459143925,1.722384119475329,0.0023343601183858
multi_arith,alpha_025_variation_no_sentence_transformer,output.log,0.3,0.124,0.0204613456709637,1.711305469053763,0.0190456675938341
multi_arith,alpha_025_variation_no_small_contemp_gen,output.log,0.7,0.0963333333333333,0.0234426012966896,1.8291651540332368,0.0014002553418413
svamp,vanilla,output.log,0.1,0.4366666666666667,0.02094967514996091,1.7507712221145628,0.010711091295203387
svamp,alpha_025_variation_no_l_reason,output.log,0.1,0.4533333333333333,0.0224845626053867,1.731332202355067,0.0055363818922774
svamp,alpha_025_variation_no_sentence_transformer,output.log,0.1,0.41,0.0496655480858377,1.964274861812592,0.0255054839214794
svamp,alpha_025_variation_no_small_contemp_gen,output.log,0.7,0.4033333333333333,0.030092450142112984,1.8889633282025653,0.15547620612741184
