dataset,alpha,log_file,best_temp,num_acc_mean,num_acc_std,ave_time_mean,ave_time_std
svamp,0.1,output.log,0.3,0.485,0.0040824829046386,1.7721163177490231,0.0036123274033985
svamp,0.3,output.log,0.3,0.4433333333333333,0.0377123616632825,2.2343623197078704,0.0374112317131162
svamp,0.5,output.log,0.1,0.2433333333333333,0.1709938270490747,1.863165867726008,0.00357698347339
svamp,0.7,output.log,0.9,0.4766666666666667,0.0332498955721,1.8724936850865683,0.0056625141959043
svamp,0.9,output.log,0.5,0.465,0.0463680924774785,1.8275843103726703,0.0039850521212874
coinflip,0.1,output.log,0.9,0.7916666666666666,0.1041099845782761,1.722595295111338,0.0799415589282064
coinflip,0.3,output.log,0.7,0.84,0.0108012344973464,1.743911565144857,0.0993102696971271
coinflip,0.5,output.log,0.3,0.765,0.1334790870011728,1.7583876172701516,0.0572377110684858
coinflip,0.7,output.log,0.7,0.7983333333333333,0.0940153651744696,1.8282075373331703,0.135795596017525
coinflip,0.9,output.log,0.7,0.8449999999999999,0.0975534041777459,1.697291818062464,0.0487389641654747
gsm8k,0.1,output.log,0.7,0.1116666666666666,0.0047140452079103,1.8271950646241508,0.0003323247693868
gsm8k,0.3,output.log,0.7,0.1033333333333333,0.0224845626053867,1.823065365552902,0.0005022306389793
gsm8k,0.5,output.log,0.7,0.0966666666666666,0.0246080384337223,1.857039063771566,0.0010449831679529
gsm8k,0.7,output.log,0.7,0.1033333333333333,0.0023570226039551,1.837551371653875,0.0007317516006505
gsm8k,0.9,output.log,0.7,0.1066666666666666,0.0047140452079103,1.822502224445343,0.0012545039542438
multiarith,0.1,output.log,0.7,0.1723333333333333,0.066734965015017,1.876482818303285,0.0011087077855746
multiarith,0.3,output.log,0.3,0.1816666666666666,0.0226028513442195,1.854189486415298,0.0004761784432648
multiarith,0.5,output.log,0.3,0.167,0.0643583716388163,1.9480621885370324,0.0023737300046039
multiarith,0.7,output.log,0.5,0.0353333333333333,0.045791799362865,1.828238208647128,0.0024841946527389
multiarith,0.9,output.log,0.1,0.1853333333333333,0.0302691628926573,1.7710601104630364,0.0043929873019267
comsense_qa,0.1,output.log,0.5,0.82,0.0402077936060493,2.0561065232753752,0.0696818477864865
comsense_qa,0.3,output.log,0.7,0.8316666666666667,0.0758653778449403,1.8133702766895297,0.0404018256138914
comsense_qa,0.5,output.log,0.7,0.8416666666666667,0.0572033410057684,1.7784640133380891,0.0205382134924165
comsense_qa,0.7,output.log,0.3,0.7766666666666667,0.0062360956446232,1.8195748285452524,0.0743864981132665
comsense_qa,0.9,output.log,0.7,0.785,0.0108012344973464,1.7134452160199485,0.0391441647725494
